gene	KO	pathway	description
Ag_06117	K01196	map01100	Metabolic pathways
Ag_06117	K01196	map01110	Biosynthesis of secondary metabolites
Ag_06122	K03134	map03022	Basal transcription factors
Ag_06131	K03015	map03020	RNA polymerase
Ag_06132	K03026	map03020	RNA polymerase
Ag_06142	K08516	map04130	SNARE interactions in vesicular transport
Ag_06142	K08516	map04138	Autophagy - yeast
Ag_06144	K02958	map03010	Ribosome
Ag_06145	K02943	map03010	Ribosome
Ag_06146	K01469	map00480	Glutathione metabolism
Ag_06146	K01469	map01100	Metabolic pathways
Ag_06149	K12837	map03040	Spliceosome
Ag_06153	K09659	map00510	N-Glycan biosynthesis
Ag_06153	K09659	map01100	Metabolic pathways
Ag_06154	K17969	map04139	Mitophagy - yeast
Ag_06159	K13337	map04146	Peroxisome
Ag_06165	K22210	map01100	Metabolic pathways
Ag_06166	K10251	map00062	Fatty acid elongation
Ag_06166	K10251	map01040	Biosynthesis of unsaturated fatty acids
Ag_06166	K10251	map01100	Metabolic pathways
Ag_06166	K10251	map01110	Biosynthesis of secondary metabolites
Ag_06166	K10251	map01212	Fatty acid metabolism
Ag_06176	K06100	map03015	mRNA surveillance pathway
Ag_06177	K02152	map00190	Oxidative phosphorylation
Ag_06177	K02152	map01100	Metabolic pathways
Ag_06177	K02152	map04145	Phagosome
Ag_06186	K12828	map03040	Spliceosome
Ag_06187	K12828	map03040	Spliceosome
Ag_06190	K10777	map03450	Non-homologous end-joining
Ag_06192	K05758	map04138	Autophagy - yeast
Ag_06192	K05758	map04144	Endocytosis
Ag_06197	K12828	map03040	Spliceosome
Ag_06225	K03248	map03013	RNA transport
Ag_06228	K06126	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
Ag_06228	K06126	map01100	Metabolic pathways
Ag_06228	K06126	map01110	Biosynthesis of secondary metabolites
Ag_06228	K06126	map01240	Biosynthesis of cofactors
Ag_06230	K00108	map00260	Glycine, serine and threonine metabolism
Ag_06230	K00108	map01100	Metabolic pathways
Ag_06237	K01950	map00760	Nicotinate and nicotinamide metabolism
Ag_06237	K01950	map01100	Metabolic pathways
Ag_06237	K01950	map01240	Biosynthesis of cofactors
Ag_06271	K12584	map03018	RNA degradation
Ag_06273	K11262	map00061	Fatty acid biosynthesis
Ag_06273	K11262	map00620	Pyruvate metabolism
Ag_06273	K11262	map00640	Propanoate metabolism
Ag_06273	K11262	map01100	Metabolic pathways
Ag_06273	K11262	map01110	Biosynthesis of secondary metabolites
Ag_06273	K11262	map01212	Fatty acid metabolism
Ag_06287	K00108	map00260	Glycine, serine and threonine metabolism
Ag_06287	K00108	map01100	Metabolic pathways
Ag_06294	K02892	map03010	Ribosome
Ag_06309	K01613	map00564	Glycerophospholipid metabolism
Ag_06309	K01613	map01100	Metabolic pathways
Ag_06309	K01613	map01110	Biosynthesis of secondary metabolites
Ag_06313	K23451	map00600	Sphingolipid metabolism
Ag_06313	K23451	map01100	Metabolic pathways
Ag_06339	K14304	map03013	RNA transport
Ag_06349	K00059	map00061	Fatty acid biosynthesis
Ag_06349	K00059	map00780	Biotin metabolism
Ag_06349	K00059	map01100	Metabolic pathways
Ag_06349	K00059	map01110	Biosynthesis of secondary metabolites
Ag_06349	K00059	map01212	Fatty acid metabolism
Ag_06349	K00059	map01240	Biosynthesis of cofactors
Ag_06352	K11121	map00760	Nicotinate and nicotinamide metabolism
Ag_06352	K11121	map01100	Metabolic pathways
Ag_06354	K01940	map00220	Arginine biosynthesis
Ag_06354	K01940	map00250	Alanine, aspartate and glutamate metabolism
Ag_06354	K01940	map01100	Metabolic pathways
Ag_06354	K01940	map01110	Biosynthesis of secondary metabolites
Ag_06354	K01940	map01230	Biosynthesis of amino acids
Ag_06355	K10661	map04141	Protein processing in endoplasmic reticulum
Ag_06370	K12876	map03013	RNA transport
Ag_06370	K12876	map03015	mRNA surveillance pathway
Ag_06370	K12876	map03040	Spliceosome
Ag_06372	K03679	map03018	RNA degradation
Ag_06388	K08683	map00280	Valine, leucine and isoleucine degradation
Ag_06388	K08683	map01100	Metabolic pathways
Ag_06388	K08683	map01110	Biosynthesis of secondary metabolites
Ag_06395	K00217	map01100	Metabolic pathways
Ag_06401	K00602	map00230	Purine metabolism
Ag_06401	K00602	map00670	One carbon pool by folate
Ag_06401	K00602	map01100	Metabolic pathways
Ag_06401	K00602	map01110	Biosynthesis of secondary metabolites
Ag_06406	K02894	map03010	Ribosome
Ag_06424	K15791	map00310	Lysine degradation
Ag_06424	K15791	map00380	Tryptophan metabolism
Ag_06424	K15791	map01100	Metabolic pathways
Ag_06424	K15791	map01110	Biosynthesis of secondary metabolites
Ag_06435	K00029	map00620	Pyruvate metabolism
Ag_06435	K00029	map01100	Metabolic pathways
Ag_06435	K00029	map01200	Carbon metabolism
Ag_06437	K02320	map03030	DNA replication
Ag_06441	K03786	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_06441	K03786	map01100	Metabolic pathways
Ag_06441	K03786	map01110	Biosynthesis of secondary metabolites
Ag_06441	K03786	map01230	Biosynthesis of amino acids
Ag_06491	K09448	map04011	MAPK signaling pathway - yeast
Ag_06501	K12859	map03040	Spliceosome
Ag_06502	K08139	map04113	Meiosis - yeast
Ag_06514	K03254	map03013	RNA transport
Ag_06531	K14012	map04141	Protein processing in endoplasmic reticulum
Ag_06550	K01254	map00590	Arachidonic acid metabolism
Ag_06550	K01254	map01100	Metabolic pathways
Ag_06552	K10583	map04120	Ubiquitin mediated proteolysis
Ag_06589	K12196	map04144	Endocytosis
Ag_06590	K02272	map00190	Oxidative phosphorylation
Ag_06590	K02272	map01100	Metabolic pathways
Ag_06593	K01857	map01100	Metabolic pathways
Ag_06648	K08726	map00590	Arachidonic acid metabolism
Ag_06648	K08726	map01100	Metabolic pathways
Ag_06648	K08726	map04146	Peroxisome
Ag_06649	K08726	map00590	Arachidonic acid metabolism
Ag_06649	K08726	map01100	Metabolic pathways
Ag_06649	K08726	map04146	Peroxisome
Ag_06697	K12486	map04144	Endocytosis
Ag_06769	K03787	map00230	Purine metabolism
Ag_06769	K03787	map00240	Pyrimidine metabolism
Ag_06769	K03787	map00760	Nicotinate and nicotinamide metabolism
Ag_06769	K03787	map01100	Metabolic pathways
Ag_06769	K03787	map01110	Biosynthesis of secondary metabolites
Ag_06775	K01179	map00500	Starch and sucrose metabolism
Ag_06775	K01179	map01100	Metabolic pathways
Ag_06782	K17066	map00680	Methane metabolism
Ag_06782	K17066	map01100	Metabolic pathways
Ag_06782	K17066	map01200	Carbon metabolism
Ag_06809	K13366	map00330	Arginine and proline metabolism
Ag_06809	K13366	map00410	beta-Alanine metabolism
Ag_06809	K13366	map01100	Metabolic pathways
Ag_06810	K23451	map00600	Sphingolipid metabolism
Ag_06810	K23451	map01100	Metabolic pathways
Ag_06852	K09490	map03060	Protein export
Ag_06852	K09490	map04141	Protein processing in endoplasmic reticulum
Ag_06880	K10575	map04120	Ubiquitin mediated proteolysis
Ag_06880	K10575	map04141	Protein processing in endoplasmic reticulum
Ag_06881	K03021	map03020	RNA polymerase
Ag_06882	K04555	map04120	Ubiquitin mediated proteolysis
Ag_06882	K04555	map04141	Protein processing in endoplasmic reticulum
Ag_06883	K00103	map00053	Ascorbate and aldarate metabolism
Ag_06883	K00103	map01100	Metabolic pathways
Ag_06883	K00103	map01240	Biosynthesis of cofactors
Ag_06889	K14310	map03013	RNA transport
Ag_06895	K02141	map00190	Oxidative phosphorylation
Ag_06895	K02141	map01100	Metabolic pathways
Ag_06906	K01207	map00520	Amino sugar and nucleotide sugar metabolism
Ag_06906	K01207	map00531	Glycosaminoglycan degradation
Ag_06906	K01207	map01100	Metabolic pathways
Ag_06906	K01207	map01501	beta-Lactam resistance
Ag_06914	K05019	map03013	RNA transport
Ag_06917	K12471	map04144	Endocytosis
Ag_06918	K06674	map04111	Cell cycle - yeast
Ag_06962	K01895	map00010	Glycolysis / Gluconeogenesis
Ag_06962	K01895	map00620	Pyruvate metabolism
Ag_06962	K01895	map00630	Glyoxylate and dicarboxylate metabolism
Ag_06962	K01895	map00640	Propanoate metabolism
Ag_06962	K01895	map00680	Methane metabolism
Ag_06962	K01895	map01100	Metabolic pathways
Ag_06962	K01895	map01110	Biosynthesis of secondary metabolites
Ag_06962	K01895	map01200	Carbon metabolism
Ag_06975	K00222	map00100	Steroid biosynthesis
Ag_06975	K00222	map01100	Metabolic pathways
Ag_06975	K00222	map01110	Biosynthesis of secondary metabolites
Ag_06988	K00868	map00750	Vitamin B6 metabolism
Ag_06988	K00868	map01100	Metabolic pathways
Ag_06988	K00868	map01240	Biosynthesis of cofactors
Ag_07029	K19842	map04011	MAPK signaling pathway - yeast
Ag_07030	K19842	map04011	MAPK signaling pathway - yeast
Ag_07031	K14313	map03013	RNA transport
Ag_07032	K00480	map01100	Metabolic pathways
Ag_07034	K24348	map04141	Protein processing in endoplasmic reticulum
Ag_07048	K00784	map03013	RNA transport
Ag_07056	K03019	map03020	RNA polymerase
Ag_07059	K13525	map04141	Protein processing in endoplasmic reticulum
Ag_07073	K00729	map00510	N-Glycan biosynthesis
Ag_07073	K00729	map01100	Metabolic pathways
Ag_07074	K11839	map04144	Endocytosis
Ag_07090	K11839	map04144	Endocytosis
Ag_07095	K03505	map03030	DNA replication
Ag_07095	K03505	map03410	Base excision repair
Ag_07095	K03505	map03420	Nucleotide excision repair
Ag_07095	K03505	map03430	Mismatch repair
Ag_07095	K03505	map03440	Homologous recombination
Ag_07102	K19842	map04011	MAPK signaling pathway - yeast
Ag_07107	K08737	map03430	Mismatch repair
Ag_07108	K02433	map00970	Aminoacyl-tRNA biosynthesis
Ag_07108	K02433	map01100	Metabolic pathways
Ag_07114	K01225	map00500	Starch and sucrose metabolism
Ag_07114	K01225	map01100	Metabolic pathways
Ag_07130	K07824	map01100	Metabolic pathways
Ag_07132	K07824	map01100	Metabolic pathways
Ag_07136	K07824	map01100	Metabolic pathways
Ag_07138	K07824	map01100	Metabolic pathways
Ag_07199	K01225	map00500	Starch and sucrose metabolism
Ag_07199	K01225	map01100	Metabolic pathways
Ag_07200	K02868	map03010	Ribosome
Ag_07205	K00762	map00240	Pyrimidine metabolism
Ag_07205	K00762	map01100	Metabolic pathways
Ag_07205	K00762	map01240	Biosynthesis of cofactors
Ag_07207	K08744	map00564	Glycerophospholipid metabolism
Ag_07207	K08744	map01100	Metabolic pathways
Ag_07212	K00611	map00220	Arginine biosynthesis
Ag_07212	K00611	map01100	Metabolic pathways
Ag_07212	K00611	map01110	Biosynthesis of secondary metabolites
Ag_07212	K00611	map01230	Biosynthesis of amino acids
Ag_07223	K01918	map00410	beta-Alanine metabolism
Ag_07223	K01918	map00770	Pantothenate and CoA biosynthesis
Ag_07223	K01918	map01100	Metabolic pathways
Ag_07223	K01918	map01110	Biosynthesis of secondary metabolites
Ag_07223	K01918	map01240	Biosynthesis of cofactors
Ag_07224	K13341	map04146	Peroxisome
Ag_07226	K11414	map00760	Nicotinate and nicotinamide metabolism
Ag_07226	K11414	map01100	Metabolic pathways
Ag_07238	K02882	map03010	Ribosome
Ag_07245	K00223	map00100	Steroid biosynthesis
Ag_07245	K00223	map01100	Metabolic pathways
Ag_07245	K00223	map01110	Biosynthesis of secondary metabolites
Ag_07248	K06648	map04011	MAPK signaling pathway - yeast
Ag_07248	K06648	map04111	Cell cycle - yeast
Ag_07248	K06648	map04113	Meiosis - yeast
Ag_07249	K10756	map03030	DNA replication
Ag_07249	K10756	map03420	Nucleotide excision repair
Ag_07249	K10756	map03430	Mismatch repair
Ag_07253	K00637	map00100	Steroid biosynthesis
Ag_07255	K09518	map04141	Protein processing in endoplasmic reticulum
Ag_07256	K02269	map00190	Oxidative phosphorylation
Ag_07256	K02269	map01100	Metabolic pathways
Ag_07257	K04354	map03015	mRNA surveillance pathway
Ag_07257	K04354	map04111	Cell cycle - yeast
Ag_07259	K02977	map03010	Ribosome
Ag_07259	K02977	map04120	Ubiquitin mediated proteolysis
Ag_07263	K13939	map00790	Folate biosynthesis
Ag_07263	K13939	map01100	Metabolic pathways
Ag_07263	K13939	map01240	Biosynthesis of cofactors
Ag_07264	K00232	map00071	Fatty acid degradation
Ag_07264	K00232	map00410	beta-Alanine metabolism
Ag_07264	K00232	map00592	alpha-Linolenic acid metabolism
Ag_07264	K00232	map00640	Propanoate metabolism
Ag_07264	K00232	map01040	Biosynthesis of unsaturated fatty acids
Ag_07264	K00232	map01100	Metabolic pathways
Ag_07264	K00232	map01110	Biosynthesis of secondary metabolites
Ag_07264	K00232	map01200	Carbon metabolism
Ag_07264	K00232	map01212	Fatty acid metabolism
Ag_07264	K00232	map04146	Peroxisome
Ag_07267	K12662	map03040	Spliceosome
Ag_07273	K14530	map03008	Ribosome biogenesis in eukaryotes
Ag_07273	K14530	map03013	RNA transport
Ag_07284	K01835	map00010	Glycolysis / Gluconeogenesis
Ag_07284	K01835	map00030	Pentose phosphate pathway
Ag_07284	K01835	map00052	Galactose metabolism
Ag_07284	K01835	map00230	Purine metabolism
Ag_07284	K01835	map00500	Starch and sucrose metabolism
Ag_07284	K01835	map00520	Amino sugar and nucleotide sugar metabolism
Ag_07284	K01835	map01100	Metabolic pathways
Ag_07284	K01835	map01110	Biosynthesis of secondary metabolites
Ag_07285	K07252	map00510	N-Glycan biosynthesis
Ag_07291	K00925	map00430	Taurine and hypotaurine metabolism
Ag_07291	K00925	map00620	Pyruvate metabolism
Ag_07291	K00925	map00640	Propanoate metabolism
Ag_07291	K00925	map00680	Methane metabolism
Ag_07291	K00925	map01100	Metabolic pathways
Ag_07291	K00925	map01200	Carbon metabolism
Ag_07292	K01621	map00030	Pentose phosphate pathway
Ag_07292	K01621	map01100	Metabolic pathways
Ag_07294	K02202	map03022	Basal transcription factors
Ag_07294	K02202	map03420	Nucleotide excision repair
Ag_07307	K03259	map03013	RNA transport
Ag_07320	K12184	map04144	Endocytosis
Ag_07321	K21456	map00270	Cysteine and methionine metabolism
Ag_07321	K21456	map00480	Glutathione metabolism
Ag_07321	K21456	map01100	Metabolic pathways
Ag_07321	K21456	map01240	Biosynthesis of cofactors
Ag_07322	K00766	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_07322	K00766	map01100	Metabolic pathways
Ag_07322	K00766	map01110	Biosynthesis of secondary metabolites
Ag_07322	K00766	map01230	Biosynthesis of amino acids
Ag_07328	K01613	map00564	Glycerophospholipid metabolism
Ag_07328	K01613	map01100	Metabolic pathways
Ag_07328	K01613	map01110	Biosynthesis of secondary metabolites
Ag_07340	K02111	map00190	Oxidative phosphorylation
Ag_07340	K02111	map01100	Metabolic pathways
Ag_07342	K02888	map03010	Ribosome
Ag_07345	K12821	map03040	Spliceosome
Ag_07351	K00147	map00330	Arginine and proline metabolism
Ag_07351	K00147	map00332	Carbapenem biosynthesis
Ag_07351	K00147	map01100	Metabolic pathways
Ag_07351	K00147	map01110	Biosynthesis of secondary metabolites
Ag_07351	K00147	map01230	Biosynthesis of amino acids
Ag_07368	K23741	map00510	N-Glycan biosynthesis
Ag_07368	K23741	map00513	Various types of N-glycan biosynthesis
Ag_07368	K23741	map01100	Metabolic pathways
Ag_07368	K23741	map04141	Protein processing in endoplasmic reticulum
Ag_07370	K15174	map04011	MAPK signaling pathway - yeast
Ag_07371	K03114	map04011	MAPK signaling pathway - yeast
Ag_07371	K03114	map04111	Cell cycle - yeast
Ag_07371	K03114	map04113	Meiosis - yeast
Ag_07382	K02987	map03010	Ribosome
Ag_07383	K10590	map04120	Ubiquitin mediated proteolysis
Ag_07384	K10590	map04120	Ubiquitin mediated proteolysis
Ag_07390	K12834	map03040	Spliceosome
Ag_07400	K10582	map04120	Ubiquitin mediated proteolysis
Ag_07413	K07203	map04113	Meiosis - yeast
Ag_07413	K07203	map04136	Autophagy - other
Ag_07413	K07203	map04138	Autophagy - yeast
Ag_07413	K07203	map04139	Mitophagy - yeast
Ag_07423	K00297	map00670	One carbon pool by folate
Ag_07423	K00297	map01100	Metabolic pathways
Ag_07423	K00297	map01200	Carbon metabolism
Ag_07427	K03504	map03030	DNA replication
Ag_07427	K03504	map03410	Base excision repair
Ag_07427	K03504	map03420	Nucleotide excision repair
Ag_07427	K03504	map03430	Mismatch repair
Ag_07427	K03504	map03440	Homologous recombination
Ag_07430	K00854	map00040	Pentose and glucuronate interconversions
Ag_07430	K00854	map01100	Metabolic pathways
Ag_07432	K03012	map03020	RNA polymerase
Ag_07433	K03036	map03050	Proteasome
Ag_07438	K01480	map00330	Arginine and proline metabolism
Ag_07438	K01480	map01100	Metabolic pathways
Ag_07441	K10848	map03420	Nucleotide excision repair
Ag_07442	K14404	map03015	mRNA surveillance pathway
Ag_07446	K13511	map00564	Glycerophospholipid metabolism
Ag_07458	K01764	map00860	Porphyrin and chlorophyll metabolism
Ag_07460	K08139	map04113	Meiosis - yeast
Ag_07469	K19842	map04011	MAPK signaling pathway - yeast
Ag_07480	K00728	map00514	Other types of O-glycan biosynthesis
Ag_07480	K00728	map00515	Mannose type O-glycan biosynthesis
Ag_07480	K00728	map01100	Metabolic pathways
Ag_07507	K12479	map04138	Autophagy - yeast
Ag_07507	K12479	map04144	Endocytosis
Ag_07508	K12190	map04144	Endocytosis
Ag_07514	K00275	map00750	Vitamin B6 metabolism
Ag_07514	K00275	map01100	Metabolic pathways
Ag_07514	K00275	map01240	Biosynthesis of cofactors
Ag_07517	K04565	map04146	Peroxisome
Ag_07521	K03937	map00190	Oxidative phosphorylation
Ag_07521	K03937	map01100	Metabolic pathways
Ag_07533	K01598	map00770	Pantothenate and CoA biosynthesis
Ag_07533	K01598	map01100	Metabolic pathways
Ag_07533	K01598	map01240	Biosynthesis of cofactors
Ag_07534	K06685	map04111	Cell cycle - yeast
Ag_07535	K06685	map04111	Cell cycle - yeast
Ag_07537	K00559	map00100	Steroid biosynthesis
Ag_07537	K00559	map01100	Metabolic pathways
Ag_07537	K00559	map01110	Biosynthesis of secondary metabolites
Ag_07543	K14319	map03013	RNA transport
Ag_07570	K20246	map00340	Histidine metabolism
Ag_07570	K20246	map01100	Metabolic pathways
Ag_07584	K03506	map03030	DNA replication
Ag_07584	K03506	map03410	Base excision repair
Ag_07584	K03506	map03420	Nucleotide excision repair
Ag_07594	K00164	map00020	Citrate cycle (TCA cycle)
Ag_07594	K00164	map01100	Metabolic pathways
Ag_07594	K00164	map01110	Biosynthesis of secondary metabolites
Ag_07594	K00164	map01200	Carbon metabolism
Ag_07598	K11232	map04011	MAPK signaling pathway - yeast
Ag_07605	K10610	map03420	Nucleotide excision repair
Ag_07605	K10610	map04120	Ubiquitin mediated proteolysis
Ag_07645	K10866	map03440	Homologous recombination
Ag_07645	K10866	map03450	Non-homologous end-joining
Ag_07650	K13989	map04141	Protein processing in endoplasmic reticulum
Ag_07663	K06693	map03050	Proteasome
Ag_07664	K03146	map00730	Thiamine metabolism
Ag_07664	K03146	map01100	Metabolic pathways
Ag_07664	K03146	map01240	Biosynthesis of cofactors
Ag_07666	K01850	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_07666	K01850	map01100	Metabolic pathways
Ag_07666	K01850	map01110	Biosynthesis of secondary metabolites
Ag_07666	K01850	map01230	Biosynthesis of amino acids
Ag_07672	K01687	map00290	Valine, leucine and isoleucine biosynthesis
Ag_07672	K01687	map00770	Pantothenate and CoA biosynthesis
Ag_07672	K01687	map01100	Metabolic pathways
Ag_07672	K01687	map01110	Biosynthesis of secondary metabolites
Ag_07672	K01687	map01210	2-Oxocarboxylic acid metabolism
Ag_07672	K01687	map01230	Biosynthesis of amino acids
Ag_07677	K02332	map04139	Mitophagy - yeast
Ag_07680	K07407	map00052	Galactose metabolism
Ag_07680	K07407	map00561	Glycerolipid metabolism
Ag_07680	K07407	map00600	Sphingolipid metabolism
Ag_07680	K07407	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_07680	K07407	map01100	Metabolic pathways
Ag_07681	K14171	map04122	Sulfur relay system
Ag_07682	K09291	map03013	RNA transport
Ag_07685	K10597	map04120	Ubiquitin mediated proteolysis
Ag_07685	K10597	map04141	Protein processing in endoplasmic reticulum
Ag_07686	K02916	map03010	Ribosome
Ag_07688	K14572	map03008	Ribosome biogenesis in eukaryotes
Ag_07689	K21480	map00860	Porphyrin and chlorophyll metabolism
Ag_07689	K21480	map01100	Metabolic pathways
Ag_07689	K21480	map01110	Biosynthesis of secondary metabolites
Ag_07694	K01178	map00500	Starch and sucrose metabolism
Ag_07694	K01178	map01100	Metabolic pathways
Ag_07709	K01178	map00500	Starch and sucrose metabolism
Ag_07709	K01178	map01100	Metabolic pathways
Ag_07713	K07407	map00052	Galactose metabolism
Ag_07713	K07407	map00561	Glycerolipid metabolism
Ag_07713	K07407	map00600	Sphingolipid metabolism
Ag_07713	K07407	map00603	Glycosphingolipid biosynthesis - globo and isoglobo series
Ag_07713	K07407	map01100	Metabolic pathways
Ag_07719	K10807	map00230	Purine metabolism
Ag_07719	K10807	map00240	Pyrimidine metabolism
Ag_07719	K10807	map00480	Glutathione metabolism
Ag_07719	K10807	map01100	Metabolic pathways
Ag_07731	K01115	map00564	Glycerophospholipid metabolism
Ag_07731	K01115	map00565	Ether lipid metabolism
Ag_07731	K01115	map01100	Metabolic pathways
Ag_07731	K01115	map01110	Biosynthesis of secondary metabolites
Ag_07731	K01115	map04144	Endocytosis
Ag_07735	K10838	map03420	Nucleotide excision repair
Ag_07739	K01490	map00230	Purine metabolism
Ag_07739	K01490	map01100	Metabolic pathways
Ag_07739	K01490	map01110	Biosynthesis of secondary metabolites
Ag_07747	K11412	map00760	Nicotinate and nicotinamide metabolism
Ag_07747	K11412	map01100	Metabolic pathways
Ag_07814	K11226	map04011	MAPK signaling pathway - yeast
Ag_07848	K14564	map03008	Ribosome biogenesis in eukaryotes
Ag_07855	K08730	map00564	Glycerophospholipid metabolism
Ag_07855	K08730	map01100	Metabolic pathways
Ag_07855	K08730	map01110	Biosynthesis of secondary metabolites
Ag_07857	K01210	map00500	Starch and sucrose metabolism
Ag_07857	K01210	map01100	Metabolic pathways
Ag_07859	K13280	map03060	Protein export
Ag_07865	K08139	map04113	Meiosis - yeast
Ag_07888	K03246	map03013	RNA transport
Ag_07892	K03131	map03022	Basal transcription factors
Ag_07894	K08658	map00900	Terpenoid backbone biosynthesis
Ag_07894	K08658	map01110	Biosynthesis of secondary metabolites
Ag_07901	K00006	map00564	Glycerophospholipid metabolism
Ag_07901	K00006	map01110	Biosynthesis of secondary metabolites
Ag_07901	K00006	map04011	MAPK signaling pathway - yeast
Ag_07976	K02953	map03010	Ribosome
Ag_07979	K03355	map04111	Cell cycle - yeast
Ag_07979	K03355	map04113	Meiosis - yeast
Ag_07979	K03355	map04120	Ubiquitin mediated proteolysis
Ag_07989	K02902	map03010	Ribosome
Ag_07991	K02324	map03030	DNA replication
Ag_07991	K02324	map03410	Base excision repair
Ag_07991	K02324	map03420	Nucleotide excision repair
Ag_07994	K00621	map00520	Amino sugar and nucleotide sugar metabolism
Ag_07994	K00621	map01100	Metabolic pathways
Ag_07995	K02896	map03010	Ribosome
Ag_08012	K07404	map00030	Pentose phosphate pathway
Ag_08012	K07404	map01100	Metabolic pathways
Ag_08012	K07404	map01110	Biosynthesis of secondary metabolites
Ag_08012	K07404	map01200	Carbon metabolism
Ag_08014	K02183	map04070	Phosphatidylinositol signaling system
Ag_08019	K02910	map03010	Ribosome
Ag_08023	K23612	map04144	Endocytosis
Ag_08032	K03946	map00190	Oxidative phosphorylation
Ag_08032	K03946	map01100	Metabolic pathways
Ag_08036	K01053	map00030	Pentose phosphate pathway
Ag_08036	K01053	map00053	Ascorbate and aldarate metabolism
Ag_08036	K01053	map01100	Metabolic pathways
Ag_08036	K01053	map01110	Biosynthesis of secondary metabolites
Ag_08036	K01053	map01200	Carbon metabolism
Ag_08036	K01053	map01240	Biosynthesis of cofactors
Ag_08041	K01807	map00030	Pentose phosphate pathway
Ag_08041	K01807	map01100	Metabolic pathways
Ag_08041	K01807	map01110	Biosynthesis of secondary metabolites
Ag_08041	K01807	map01200	Carbon metabolism
Ag_08041	K01807	map01230	Biosynthesis of amino acids
Ag_08042	K13830	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
Ag_08042	K13830	map01100	Metabolic pathways
Ag_08042	K13830	map01110	Biosynthesis of secondary metabolites
Ag_08042	K13830	map01230	Biosynthesis of amino acids
Ag_08050	K01053	map00030	Pentose phosphate pathway
Ag_08050	K01053	map00053	Ascorbate and aldarate metabolism
Ag_08050	K01053	map01100	Metabolic pathways
Ag_08050	K01053	map01110	Biosynthesis of secondary metabolites
Ag_08050	K01053	map01200	Carbon metabolism
Ag_08050	K01053	map01240	Biosynthesis of cofactors
Ag_08051	K00507	map01040	Biosynthesis of unsaturated fatty acids
Ag_08051	K00507	map01100	Metabolic pathways
Ag_08051	K00507	map01212	Fatty acid metabolism
Ag_08065	K15923	map00511	Other glycan degradation
Ag_08071	K23612	map04144	Endocytosis
Ag_08073	K00480	map01100	Metabolic pathways
Ag_08081	K14022	map04141	Protein processing in endoplasmic reticulum
Ag_08088	K02997	map03010	Ribosome
Ag_08102	K00227	map00100	Steroid biosynthesis
Ag_08102	K00227	map01100	Metabolic pathways
Ag_08102	K00227	map01110	Biosynthesis of secondary metabolites
Ag_08105	K13336	map04146	Peroxisome
Ag_08109	K00384	map00450	Selenocompound metabolism
Ag_08120	K08139	map04113	Meiosis - yeast
Ag_08126	K12625	map03018	RNA degradation
Ag_08126	K12625	map03040	Spliceosome
Ag_08142	K00108	map00260	Glycine, serine and threonine metabolism
Ag_08142	K00108	map01100	Metabolic pathways
Ag_08146	K02272	map00190	Oxidative phosphorylation
Ag_08146	K02272	map01100	Metabolic pathways
Ag_08151	K11419	map00310	Lysine degradation
Ag_08151	K11419	map01100	Metabolic pathways
Ag_08153	K01051	map00040	Pentose and glucuronate interconversions
Ag_08153	K01051	map01100	Metabolic pathways
Ag_08162	K10742	map03030	DNA replication
Ag_08165	K00698	map00520	Amino sugar and nucleotide sugar metabolism
Ag_08165	K00698	map01100	Metabolic pathways
Ag_08176	K00480	map01100	Metabolic pathways
Ag_08177	K12585	map03018	RNA degradation
Ag_08182	K00480	map01100	Metabolic pathways
Ag_08193	K12863	map03040	Spliceosome
Ag_08205	K10580	map04120	Ubiquitin mediated proteolysis
Ag_08225	K11226	map04011	MAPK signaling pathway - yeast
Ag_08226	K10685	map04120	Ubiquitin mediated proteolysis
Ag_08229	K01051	map00040	Pentose and glucuronate interconversions
Ag_08229	K01051	map01100	Metabolic pathways
Ag_08235	K06682	map04111	Cell cycle - yeast
Ag_08247	K00128	map00010	Glycolysis / Gluconeogenesis
Ag_08247	K00128	map00053	Ascorbate and aldarate metabolism
Ag_08247	K00128	map00071	Fatty acid degradation
Ag_08247	K00128	map00280	Valine, leucine and isoleucine degradation
Ag_08247	K00128	map00310	Lysine degradation
Ag_08247	K00128	map00330	Arginine and proline metabolism
Ag_08247	K00128	map00340	Histidine metabolism
Ag_08247	K00128	map00380	Tryptophan metabolism
Ag_08247	K00128	map00410	beta-Alanine metabolism
Ag_08247	K00128	map00561	Glycerolipid metabolism
Ag_08247	K00128	map00620	Pyruvate metabolism
Ag_08247	K00128	map00770	Pantothenate and CoA biosynthesis
Ag_08247	K00128	map01100	Metabolic pathways
Ag_08247	K00128	map01110	Biosynthesis of secondary metabolites
Ag_08247	K00128	map01240	Biosynthesis of cofactors
Ag_08253	K00128	map00010	Glycolysis / Gluconeogenesis
Ag_08253	K00128	map00053	Ascorbate and aldarate metabolism
Ag_08253	K00128	map00071	Fatty acid degradation
Ag_08253	K00128	map00280	Valine, leucine and isoleucine degradation
Ag_08253	K00128	map00310	Lysine degradation
Ag_08253	K00128	map00330	Arginine and proline metabolism
